Reaction,N,C,SubS,Solvent,H-X-CNu,AverageL2,exp-ee,iminium,solvent,catalyst,nucleophile,
191,-0.539,0.297,0.253,3.715,180,2.58,2.72,iminium-85-E,iPrOAc,9-Phenanthryl,Cumene hydroperoxide,
127,-0.530,0.306,0.256,3.752,180,9.12,2.3,iminium-105-E,DCM,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
11,-0.533,0.295,0.254,3.401,180,9.12,1.88,iminium-79-E,ethyl acetate,9-anthryl,MeOH,
138,-0.530,0.304,0.256,3.752,180,9.12,2.17,iminium-103-E,DCM,9-anthryl,"2-diazo-N-(3,5-dichlorophenyl)acetamide",
53,-0.533,0.306,0.255,3.021,180,4.71,2.72,iminium-87-E,toluene,"2,4,6-i PrC6H2",2-ClC6H4CH2,
358,-0.429,0.468,-0.481,3,180,4.71,-0.28,iminium-56-E,benzene,"2,4,6-i PrC6H14","Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
71,-0.530,0.304,0.256,3.021,180,2.58,0.43,iminium-103-E,toluene,Ph,dimethyl (diazomethyl)phosphonate,
58,-0.405,0.243,0.226,3.021,180,2.58,0.54,iminium-61-E,toluene,"3,5-(CF3)2C6H2",diethyl phosphate,
169,-0.533,0.306,0.255,3.401,180,2.58,1.21,iminium-87-E,ethyl acetate,9-Phenanthryl,tert-Butyl hydroperoxide,
167,-0.533,0.306,0.255,3.401,180,9.12,1.45,iminium-87-E,ethyl acetate,9-Anthryl,tert-Butyl hydroperoxide,
117,-0.530,0.304,0.256,3.752,180,9.12,1.53,iminium-103-E,DCM,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
195,-0.422,0.289,0.754,2.583,180,2.58,1.37,iminium-122-E,diethyl ether,1-napthyl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
131,-0.542,0.285,0.254,3.752,180,9.12,1.63,iminium-117-E,DCM,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
122,-0.530,0.304,0.256,3.752,180,9.12,1.74,iminium-103-E,DCM,9-anthryl,2-diazo-N-(4-methoxyphenyl)acetamide,
209,-0.432,0.307,0.768,2.583,180,9.12,1.96,iminium-126-E,diethyl ether,9-Anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
214,-0.556,0.518,-0.690,3.021,180,9.12,1.96,iminium-130-E,toluene,9-anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
217,-0.559,0.510,-0.687,3.021,180,9.12,2.04,iminium-132-E,toluene,9-anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
74,-0.530,0.304,0.256,3.021,180,4.71,1.89,iminium-103-E,toluene,"2,4,6-i PrC6H2",dimethyl (diazomethyl)phosphonate,
222,-0.556,0.522,-0.690,3.021,180,9.12,1.22,iminium-137-E,toluene,9-anthryl,"Diethyl 1,4-dihydro-2,6-dimethyl-3,5-pyridinedicarboxylate",
110,-0.530,0.304,0.256,3.021,180,2.58,0.57,iminium-103-E,toluene,Ph,2-diazo-N-(4-methoxyphenyl)acetamide,
