Entry,Name,SMILES,Halide,EA,ESP1,ESP2,dG
18,2-chloro-3-nitropyridine,ClC1=C([N+]([O-])=O)C=CC=N1,Cl,113.85466,101.82404152000001,176.89466656000002,67.73037125008078
19,"4,6-dichloro-2-methylpyrimidine",ClC1=NC(C)=NC(Cl)=C1,Cl,-2.2597255397793923,86.08149048,-0.836800000000005,67.81694198229633
20,4-chloro-2-(trifluoromethyl)quinoline,ClC1=CC(C(F)(F)F)=NC2=CC=CC=C21,Cl,69.47063999999999,75.26831904000001,69.50427328,69.23539520727957
21,4-chloro-6-(trifluoromethyl)quinoline,ClC1=CC=NC2=CC=C(C(F)(F)F)C=C21,Cl,74.29499,74.16771784000001,59.3797464,69.98279330045746
22,2-chloro-5-cyano-pyridine,ClC1=CC=C(C#N)C=N1,Cl,46.31376,96.6769684,163.09805208,70.61153609149804
23,"2-chloro-4,6-dimethyl-3-cyano-pyridine",ClC1=C(C#N)C(C)=CC(C)=N1,Cl,24.604184999999998,74.39520192,96.11417856,71.49423840416158
24,4-chloro-2-(methylthio)pyrimidine,CSC1=NC=CC(Cl)=N1,Cl,-16.78005417012951,67.66486136,-38.0744,71.68821188909031
25,"3,4,5-trichloro-pyridine",ClC1=CN=CC(Cl)=C1Cl,Cl,-2.8946099999999997,90.18051344000001,108.80002472000001,72.1836923801983
26,2-chloro-3-cyano-pyridine,ClC1=C(C#N)C=CC=N1,Cl,49.015395999999996,95.85899640000001,150.24367439999997,72.43077844388318
27,2-chloro-4-cyano-pyridine,ClC1=CC(C#N)=CC=N1,Cl,69.85658799999999,91.93076432,149.60327136,73.16535127079887
28,4-chloro-2-methylpyrimidine,ClC1=CC=NC(C)=N1,Cl,-31.84071,68.02037584,-60.38842512,73.27172722546304
29,2-chloro-6-cyano-pyridine,ClC1=CC=CC(C#N)=N1,Cl,54.51515499999999,91.913066,147.57892664000002,73.94937441668692
