Unnamed: 0,v_av_central_atom,v_av_nu_atom,sasa_ratio_nu,sasa_ratio_central,epn_central,epn_nu,epn_lg,epn_central_ts,epn_nu_ts,epn_lg_ts,nu_charge,nu_charge_ts,central_charge,central_charge_ts,lg_charge,lg_charge_ts,omega,n,local_electrophilicity_center,local_nucleophilicity_nu,is_av,es_av,p_int_central,p_int_nu,bo_sub_lg,bo_nu_ts,bo_lg_ts,bo_prod_nu,pc_1,pc_2,pc_3,pc_4,pc_5,activation_energy,exp_activation_energy
35,23.1,-121.7,0.5774013055641902,0.0438887048691619,-14.588204,-59.448055,-64.321096,-14.732606,-59.346297,-64.4692,-0.901933,-0.493365,0.145747,0.202636,-0.063154,-0.12546,0.2116031448856336,-4.435119430434485,0.03530475,-0.025256,5.54,-1.19,27.25676690723002,16.91812489288708,1.12191,0.251234,0.999518,1.105935,-6.8371,-3.676,1.11638,-2.0345,-0.948893,11.384283048931753,20.24
36,23.3,-124.6,0.5214485545539322,0.0438058959920503,-14.588204,-59.454439,-64.321095,-14.734042,-59.354664,-64.468261,-0.878813,-0.486934,0.145712,0.196426,-0.063187,-0.12404,0.2116010265940166,-4.21553446484725,0.0353045,-0.1484569999999999,5.4,-1.19,27.14330066041401,17.37742609738165,1.12201,0.227911,1.016627,1.078753,-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.185992319194003,19.42
37,23.1,-121.8,0.5770904569474666,0.0438887048691619,-14.588204,-59.447211,-64.321095,-14.730908,-59.346841,-64.467746,-0.886037,-0.489108,0.145789,0.203568,-0.063195,-0.121423,0.2116000234717041,-4.504332676756575,0.035304625,-0.105029,5.56,-1.19,27.25680975250398,16.970673147101706,1.121995,0.251379,1.00153,1.102146,-6.8371,-3.676,1.11638,-2.0345,-0.948893,11.39531478281078,20.49
38,23.3,-128.1,0.5770127447932857,0.0438058959920503,-14.588211,-59.462546,-64.321095,-14.739078,-59.362044,-64.473103,-0.922832,-0.523862,0.145718,0.201842,-0.063174,-0.121359,0.2116294467095713,-4.318193061269337,0.035305625,-0.1763049999999999,5.42,-1.19,27.15933536457399,16.937560742668055,1.122115,0.230853,1.012429,1.10497,-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.602335446481089,19.42
39,23.3,-121.9,0.5770127447932857,0.0439715137462736,-14.588207,-59.44746,-64.321094,-14.732085,-59.348627,-64.468949,-0.888249,-0.492645,0.145707,0.201093,-0.063183,-0.121928,0.211597889898203,-4.502080934636029,0.035304125,-0.0233769999999999,5.57,-1.19,27.842142256274563,17.03754657320857,1.122099,0.249126,1.001855,1.100719,-6.8371,-3.676,1.11638,-2.0345,-0.948893,11.57409839063295,20.44
40,23.3,-114.9,0.5756916381722101,0.0438058959920503,-14.588213,-59.429819,-64.321092,-14.726099,-59.337448,-64.464838,-0.824872,-0.464582,0.145687,0.205727,-0.063167,-0.123104,0.2116420195187832,-5.001795734965452,0.035304875,-0.151078,5.71,-1.19,27.15929125602218,17.096077243238618,1.122111,0.269843,0.991216,1.101105,-6.8371,-3.676,1.11638,-2.0345,-0.948893,12.46874378272201,19.49
41,23.1,-125.5,0.5066055331053777,0.0439715137462736,-14.588206,-59.45848,-64.321094,-14.737034,-59.358021,-64.471243,-0.889163,-0.493448,0.145736,0.196814,-0.063196,-0.12202,0.2115983222294479,-4.315017737536779,0.0353045,-0.1326669999999999,5.4,-1.19,27.07715282158445,17.522260810251826,1.122055,0.236098,1.012841,1.093217,-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.654892502095274,19.7
42,23.2,-118.4,0.5773235934100093,0.0438058959920503,-14.588214,-59.442085,-64.321091,-14.733858,-59.352752,-64.470218,-0.900506,-0.500073,0.145764,0.198494,-0.063211,-0.119874,0.2116335130322535,-4.476497280231432,0.035304875,-0.0693769999999999,5.53,-1.19,27.84236898904402,17.240124855778923,1.122167,0.243579,1.007485,1.104783,-6.8371,-3.676,1.11638,-2.0345,-0.948893,10.669199723026514,20.04
43,15.3,-12.9,0.106437454279444,0.0525836369658827,-14.597684,-18.366116,-22.210079,-14.575843,-18.248276,-22.219595,-0.480795,-0.235922,0.242707,0.324755,-0.187844,-0.230412,0.1875095457746079,-5.997437347536622,0.037469125,-0.071441,6.72,-0.65,25.80235162284353,18.85099986079464,1.319206,0.264858,1.218732,1.343372,-7.158010000000001,4.00531,-3.9992,2.58802,0.563683,20.67780510904072,19.27
44,23.1,-101.7,0.5735156978551446,0.0440543226233852,-14.58821,-59.396755,-64.321094,-14.713428,-59.315936,-64.456071,-0.730262,-0.421657,0.145668,0.208546,-0.063156,-0.121121,0.2116292326467522,-5.220772308408053,0.035305875,-0.166072,6.01,-1.19,27.07731529709533,16.942497611187584,1.122159,0.297351,0.977144,1.093364,-6.8371,-3.676,1.11638,-2.0345,-0.948893,14.922935220894438,20.86
45,24.9,-12.9,0.1065288953913679,0.0549850944021199,-14.577164,-18.366116,-22.176571,-14.562919,-18.250122,-22.195049,-0.48071,-0.24297,0.21616,0.292424,-0.155911,-0.206965,0.1962727368584378,-5.997442463278005,0.033155875,-0.071441,6.72,-1.06,28.322467750824018,18.85121875277636,1.315498,0.263159,1.219811,1.35164,-7.158010000000001,4.00531,-3.9992,2.58802,0.563683,17.816088315756296,17.7
46,28.1,-12.9,0.106437454279444,0.0404935409075852,-14.565487,-18.366116,-22.181463,-14.559315,-18.280521,-22.199556,-0.480711,-0.268971,0.239912,0.2993,-0.151582,-0.199726,0.199511439150827,-5.99743658561891,0.0327575,-0.071441,6.72,-1.14,30.41582376409515,18.851136989533,1.341276,0.234089,1.256445,1.347978,-7.158010000000001,4.00531,-3.9992,2.58802,0.563683,14.166736711562784,16.27
47,16.9,-13.0,0.1062545720555962,0.0550679032792315,-14.586836,-18.366117,-22.207453,-14.585584,-18.287988,-22.243474,-0.479647,-0.250344,0.242904,0.297164,-0.146387,-0.235792,0.19623382672702,-5.997600996806958,0.03123175,-0.071438,6.72,-1.14,27.82671239266786,18.8728040189697,1.347121,0.224248,1.187813,1.352827,-7.158010000000001,4.00531,-3.9992,2.58802,0.563683,18.579114760368075,17.5
48,28.6,-12.8,0.1067117776152158,0.0405763497846969,-14.564323,-18.366041,-22.180825,-14.558202,-18.281148,-22.197931,-0.480389,-0.269924,0.241666,0.297829,-0.151134,-0.197542,0.1948406939483849,-6.0177102647821785,0.032386625,-0.07064,6.73,-1.16,30.53114262971381,18.84062896137136,1.342101,0.231224,1.257895,1.348852,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,14.2078454854144,17.22
49,15.7,-12.9,0.1068032187271397,0.0525836369658827,-14.596272,-18.366041,-22.209033,-14.575414,-18.255263,-22.220475,-0.480477,-0.23815,0.24469,0.329527,-0.187591,-0.234683,0.1827259993375576,-6.017712169579938,0.03734625,-0.07064,6.72,-0.66,25.797175351170765,18.676354682964178,1.319353,0.261427,1.216536,1.343753,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,21.847116930341176,20.35
50,25.4,-12.8,0.1067117776152158,0.0549850944021199,-14.575371,-18.366041,-22.174661,-14.561403,-18.250036,-22.19271,-0.480359,-0.24704,0.216744,0.295814,-0.153608,-0.207369,0.1913348182350316,-6.017712849863582,0.032852875,-0.07064,6.73,-1.07,28.209855684492712,18.84054531753193,1.315969,0.260056,1.22179,1.354554,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,18.761481537661563,18.77
